iter	Accuracy	Logloss
0	0.9882352941	0.6673004906
1	0.9882352941	0.644146526
2	0.9882352941	0.621098861
3	0.9882352941	0.599688269
4	0.9882352941	0.5789777394
5	0.9882352941	0.5587336121
6	0.9882352941	0.5400341953
7	0.9882352941	0.5221261134
8	0.9882352941	0.5048284697
9	0.9882352941	0.488510928
10	0.9882352941	0.4727283496
11	0.9882352941	0.4580414473
12	0.9882352941	0.4435213869
13	0.9882352941	0.4299608912
14	0.9882352941	0.4166006703
15	0.9882352941	0.403868817
16	0.9882352941	0.3922361052
17	0.9882352941	0.3806008951
18	0.9882352941	0.3697506859
19	0.9882352941	0.3594144251
20	0.9882352941	0.3492375194
21	0.9882352941	0.3393323522
22	0.9882352941	0.3296225741
23	0.9882352941	0.3205747994
24	0.9882352941	0.3117348705
25	0.9882352941	0.3038872181
26	0.9882352941	0.2958820114
27	0.9882352941	0.2880229805
28	0.9882352941	0.2805040238
29	0.9882352941	0.2732519068
30	0.9882352941	0.2660312293
31	0.9882352941	0.2595261916
32	0.9882352941	0.2527887929
33	0.9882352941	0.2462582285
34	0.9882352941	0.2405265584
35	0.9882352941	0.2347756177
36	0.9882352941	0.228915603
37	0.9882352941	0.2235745337
38	0.9882352941	0.218225071
39	0.9882352941	0.2132144519
40	0.9882352941	0.2081103864
41	0.9882352941	0.2032522845
42	0.9882352941	0.198499279
43	0.9882352941	0.1939434372
44	0.9882352941	0.1893937766
45	0.9882352941	0.1851635816
46	0.9882352941	0.1809480072
47	0.9882352941	0.1769346845
48	0.9882352941	0.1727402825
49	0.9882352941	0.1690289318
