iter	Passed	Remaining
0	77	3811
1	177	4261
2	301	4729
3	399	4596
4	499	4494
5	608	4463
6	706	4338
7	802	4211
8	905	4126
9	1007	4030
10	1106	3923
11	1205	3817
12	1298	3695
13	1396	3591
14	1491	3480
15	1603	3406
16	1704	3308
17	1808	3214
18	1917	3128
19	2011	3017
20	2106	2908
21	2203	2804
22	2296	2696
23	2390	2589
24	2485	2485
25	2605	2404
26	2704	2303
27	2800	2200
28	2897	2098
29	3006	2004
30	3100	1900
31	3195	1797
32	3290	1695
33	3385	1593
34	3482	1492
35	3577	1391
36	3670	1289
37	3767	1189
38	3875	1093
39	3995	998
40	4099	899
41	4211	802
42	4313	702
43	4407	601
44	4502	500
45	4597	399
46	4689	299
47	4784	199
48	4880	99
49	4987	0
